net,length_um
x[17],14.56
_172_,14.475
_045_,14.18
_129_,13.9
_096_,13.72
p,13.685
_149_,13.195
x[6],13.14
_062_,12.84
_113_,12.76
_069_,12.74
_143_,12.505
x[8],12.38
_127_,12.06
_100_,11.595
_162_,11.555
_105_,11.345
x[16],11.34
_175_,11.095
x[15],11.095
x[30],11
x[7],11
_134_,10.965
_178_,10.8
_074_,10.755
x[14],10.635
_187_,10.595
_055_,10.52
_046_,10.51
_183_,10.46
_181_,10.415
_198_,10.335
_190_,10.295
y,10.065
_135_,9.995
_084_,9.93
_104_,9.82
_002_,9.815
_189_,9.78
rst,9.64
_144_,9.62
_060_,9.42
net1,9.395
_064_,9.325
_132_,9.195
net34,9.155
_157_,8.775
_090_,8.71
_146_,8.71
_131_,8.615
_169_,8.595
_130_,8.315
_193_,8.075
_112_,7.57
_102_,7.435
_114_,7.435
_168_,7.42
_037_,7.29
_109_,7.275
_117_,7.275
_051_,7.26
_125_,7.24
_142_,7.06
_061_,6.98
_194_,6.975
_184_,6.83
_034_,6.7
_186_,6.64
_160_,6.615
_195_,6.515
_188_,6.475
_152_,6.355
_177_,6.32
_182_,6.055
_103_,6.015
_116_,5.935
_164_,5.935
_166_,5.81
_042_,5.6
_119_,5.6
_128_,5.595
_106_,5.135
_101_,5.095
_118_,5.095
_147_,5.095
_145_,4.94
_158_,4.94
_170_,4.94
_174_,4.94
_167_,4.675
_176_,4.6
_138_,4.595
_161_,4.55
_153_,4.215
_197_,4.215
_053_,4.125
_148_,4.095
_107_,4.02
_123_,4.02
_110_,3.755
_171_,3.755
_179_,3.755
_139_,3.635
_115_,3.295
_185_,3.295
_086_,3.2
_150_,2.835
_136_,2.715
_038_,2.595
_057_,2.595
_192_,2.47
_163_,2.375
_173_,2.375
_121_,2.13
_141_,2.13
_180_,2.13
_191_,2.13
